symbol,p10,p50,p90
BTC-USDT-SWAP,67454.1875,67402.4922,67648.75
ETH-USDT-SWAP,2063.8984,2063.2114,2073.5447
OKB-USDT-SWAP,82.4844,82.4507,82.7606
SOL-USDT-SWAP,79.8602,79.8725,80.3287
DOGE-USDT-SWAP,0.0906,0.0906,0.091
XRP-USDT-SWAP,1.303,1.3025,1.31
BCH-USDT-SWAP,428.27,427.4884,429.628
PUMP-USDT-SWAP,0.0017,0.0017,0.0017
WLFI-USDT-SWAP,0.0979,0.0979,0.0985
LINEA-USDT-SWAP,0.0034,0.0034,0.0035
0G-USDT-SWAP,0.4918,0.4919,0.4949
1INCH-USDT-SWAP,0.0871,0.087,0.0876
2Z-USDT-SWAP,0.0841,0.0842,0.0859
A-USDT-SWAP,0.0769,0.0769,0.0777
AAPL-USDT-SWAP,254.5037,254.5405,254.7926
AAVE-USDT-SWAP,91.736,91.6065,92.1942
ACH-USDT-SWAP,0.0059,0.0059,0.0059
ACT-USDT-SWAP,0.0118,0.0118,0.0119
ACU-USDT-SWAP,0.0788,0.0786,0.0792
ADA-USDT-SWAP,0.2437,0.2437,0.2452
AERO-USDT-SWAP,0.314,0.3138,0.3173
AEVO-USDT-SWAP,0.0235,0.0234,0.0238
AGLD-USDT-SWAP,0.2312,0.2311,0.2331
AIXBT-USDT-SWAP,0.0217,0.0217,0.0219
ALGO-USDT-SWAP,0.1188,0.1186,0.1208
AMD-USDT-SWAP,215.4933,215.7011,216.2691
AMZN-USDT-SWAP,208.9058,208.94,209.2177
ANIME-USDT-SWAP,0.0045,0.0045,0.0045
APE-USDT-SWAP,0.0834,0.0834,0.0841
API3-USDT-SWAP,0.2658,0.2658,0.2673
APR-USDT-SWAP,0.1696,0.1695,0.1716
APT-USDT-SWAP,0.8341,0.8344,0.8383
ARB-USDT-SWAP,0.0912,0.0912,0.0919
ARKM-USDT-SWAP,0.0923,0.0922,0.0929
ASTER-USDT-SWAP,0.6619,0.662,0.6648
AT-USDT-SWAP,0.1527,0.1529,0.1545
ATH-USDT-SWAP,0.0066,0.0066,0.0067
ATOM-USDT-SWAP,1.6674,1.6676,1.6775
AVAX-USDT-SWAP,8.8506,8.8473,8.8958
AVNT-USDT-SWAP,0.129,0.1288,0.1313
AXS-USDT-SWAP,1.0856,1.0854,1.0945
AZTEC-USDT-SWAP,0.0178,0.0177,0.0179
BABY-USDT-SWAP,0.0123,0.0123,0.0124
BAND-USDT-SWAP,0.2004,0.2003,0.2019
BARD-USDT-SWAP,0.3027,0.3018,0.3063
BASED-USDT-SWAP,0.0674,0.0673,0.0695
BAT-USDT-SWAP,0.0942,0.0942,0.0953
BEAT-USDT-SWAP,0.3161,0.3138,0.3228
BERA-USDT-SWAP,0.3983,0.3968,0.401
BICO-USDT-SWAP,0.0228,0.0229,0.0231
BIGTIME-USDT-SWAP,0.0121,0.0121,0.0123
BIO-USDT-SWAP,0.0172,0.0173,0.0174
BLUR-USDT-SWAP,0.0183,0.0183,0.0185
BNB-USDT-SWAP,591.7011,591.6791,593.7628
BOME-USDT-SWAP,0.0004,0.0004,0.0004
BONK-USDT-SWAP,0.0,0.0,0.0
BRETT-USDT-SWAP,0.0061,0.0061,0.0062
BREV-USDT-SWAP,0.105,0.1049,0.1055
BSB-USDT-SWAP,0.2872,0.2899,0.2966
BZ-USDT-SWAP,110.9115,110.9611,111.1269
CC-USDT-SWAP,0.1399,0.1397,0.1402
CELO-USDT-SWAP,0.0857,0.0858,0.0869
CFX-USDT-SWAP,0.0502,0.0502,0.0505
CHZ-USDT-SWAP,0.0382,0.0382,0.0384
CL-USDT-SWAP,112.8738,113.1441,113.4573
COAI-USDT-SWAP,0.2918,0.292,0.2958
COIN-USDT-SWAP,172.293,172.4453,173.0719
COMP-USDT-SWAP,16.5423,16.5369,16.636
CORE-USDT-SWAP,0.0313,0.0311,0.0323
CRCL-USDT-SWAP,90.8961,90.8672,91.1935
CRO-USDT-SWAP,0.069,0.069,0.0692
CRV-USDT-SWAP,0.2082,0.2082,0.2103
CVX-USDT-SWAP,1.6984,1.6984,1.7132
DASH-USDT-SWAP,29.9877,29.9652,30.1292
DOOD-USDT-SWAP,0.0029,0.0029,0.0029
DOT-USDT-SWAP,1.2245,1.225,1.2316
DYDX-USDT-SWAP,0.0983,0.0983,0.0996
EDEN-USDT-SWAP,0.0307,0.0307,0.0311
EDGE-USDT-SWAP,0.9232,0.9212,0.9624
EGLD-USDT-SWAP,3.6794,3.679,3.7007
ENA-USDT-SWAP,0.0779,0.0778,0.0785
ENJ-USDT-SWAP,0.0196,0.0195,0.0197
ENS-USDT-SWAP,5.5229,5.5206,5.5561
ENSO-USDT-SWAP,0.9142,0.9118,0.92
ESP-USDT-SWAP,0.0731,0.0731,0.074
ETC-USDT-SWAP,8.5303,8.5346,8.6136
ETHW-USDT-SWAP,0.2682,0.2684,0.2717
ETHFI-USDT-SWAP,0.4424,0.4422,0.444
EWJ-USDT-SWAP,84.8601,84.8616,85.0727
EWY-USDT-SWAP,121.0967,121.0428,121.349
F-USDT-SWAP,0.0049,0.0049,0.0049
FARTCOIN-USDT-SWAP,0.1632,0.1632,0.165
FIL-USDT-SWAP,0.8217,0.8216,0.8277
FLOKI-USDT-SWAP,0.0,0.0,0.0
FLOW-USDT-SWAP,0.0307,0.0306,0.031
FOGO-USDT-SWAP,0.0185,0.0185,0.0188
GALA-USDT-SWAP,0.0028,0.0028,0.0029
GAS-USDT-SWAP,1.7656,1.7697,1.797
GIGGLE-USDT-SWAP,24.9737,25.0369,25.3631
GLM-USDT-SWAP,0.1244,0.1243,0.125
GMT-USDT-SWAP,0.01,0.01,0.0101
GMX-USDT-SWAP,6.0107,6.0031,6.0418
GOOGL-USDT-SWAP,294.0355,294.1855,294.6456
GPS-USDT-SWAP,0.0074,0.0074,0.0074
GRASS-USDT-SWAP,0.2782,0.2779,0.2807
GRT-USDT-SWAP,0.0234,0.0234,0.0236
H-USDT-SWAP,0.0801,0.0799,0.081
HBAR-USDT-SWAP,0.0868,0.0868,0.0873
HMSTR-USDT-SWAP,0.0001,0.0001,0.0001
HOME-USDT-SWAP,0.0201,0.0201,0.0203
HOOD-USDT-SWAP,68.9284,68.9299,69.1049
HUMA-USDT-SWAP,0.0144,0.0144,0.0147
HYPE-USDT-SWAP,35.7647,35.7242,35.979
ICP-USDT-SWAP,2.262,2.262,2.2744
ICX-USDT-SWAP,0.0355,0.0355,0.0359
IMX-USDT-SWAP,0.1313,0.131,0.1322
INIT-USDT-SWAP,0.0799,0.0799,0.0808
INJ-USDT-SWAP,2.7665,2.7661,2.7819
INTC-USDT-SWAP,49.9437,50.0079,50.054
IOST-USDT-SWAP,0.0011,0.0011,0.0011
IOTA-USDT-SWAP,0.0582,0.0581,0.0586
IP-USDT-SWAP,0.486,0.4862,0.4907
JELLYJELLY-USDT-SWAP,0.0409,0.0407,0.0414
JTO-USDT-SWAP,0.2729,0.2723,0.2779
JUP-USDT-SWAP,0.1593,0.1594,0.1604
KAITO-USDT-SWAP,0.417,0.4172,0.4203
KAT-USDT-SWAP,0.0085,0.0085,0.0086
KGEN-USDT-SWAP,0.1435,0.1428,0.1447
KMNO-USDT-SWAP,0.017,0.017,0.0172
KSM-USDT-SWAP,4.0912,4.0893,4.1199
LA-USDT-SWAP,0.1719,0.1716,0.1731
LAB-USDT-SWAP,0.2443,0.2446,0.2525
LAYER-USDT-SWAP,0.0774,0.0775,0.0781
LIGHT-USDT-SWAP,0.1635,0.1641,0.1673
LINK-USDT-SWAP,8.6177,8.6143,8.6582
LIT-USDT-SWAP,0.9575,0.9573,0.9796
